,sportnik,tipAktivnosti,zacetekAktivnosti,trajanjeAktivnosti,razdaljaAktivnosti,vzponAktivnosti,kalorijeAktivnosti,tempoAktivnosti,kadenceAvgAktivnosti,kadenceMaxAktivnosti
0,2,biking,2013-06-08T14:14:54.000Z,4338.0,36.66844921875,391.4005126953125,809,01:58,108,108.0
1,2,biking,2017-05-25T11:27:50.000Z,7818.0,65.23901953125,952.3996276855469,1905,01:59,105,105.0
2,2,biking,2014-07-15T14:10:01.000Z,8847.0,79.2443203125,802.6000366210938,1806,01:51,104,104.0
3,2,biking,2013-04-23T10:23:17.000Z,8315.0,62.96853125,860.6002502441406,1531,02:12,116,116.0
4,2,running,2016-02-18T08:36:31.000Z,4243.0,16.431859375,201.8000099658966,1070,04:18,0.0,0.0
5,2,running,2015-03-01T11:59:53.000Z,1479.0,7.23093017578125,126.00018310546875,341,03:24,0.0,0.0
6,2,running,2017-04-23T18:36:28.000Z,2218.0,9.4046396484375,79.40003204345703,611,03:55,0.0,0.0
7,2,running,2015-05-09T08:50:05.000Z,4572.0,21.2037890625,135.79999828338623,1805,03:35,0.0,0.0
8,2,biking,2017-05-07T09:16:46.000Z,9083.0,86.0978984375,877.99951171875,2333,01:45,104,109.0
9,2,running,2015-03-24T17:51:15.000Z,2511.0,9.3054697265625,49.800018310546875,647,04:29,0.0,0.0
10,2,running,2016-02-19T09:22:12.000Z,1293.0,4.721169921875,88.00000154972076,355,04:33,0.0,0.0
11,2,other,2015-07-04T15:00:49.000Z,3073.0,2.745159912109375,0.0,757,18:39,0.0,0.0
12,2,biking,2014-04-23T13:30:38.000Z,7371.0,59.71519140625,1809.5997619628906,1557,02:03,105,105.0
13,2,biking,2013-06-17T11:32:11.000Z,11172.0,84.0441171875,1137.2003784179688,1878,02:12,105,105.0
14,2,biking,2016-07-12T12:30:51.000Z,9240.0,83.5612109375,1112.4001159667969,1836,01:50,108,108.0
15,2,running,2015-09-20T10:58:48.000Z,9801.0,32.537080078125,547.6000089645386,1797,05:01,0.0,0.0
16,2,biking,2014-03-16T12:13:01.000Z,15137.0,122.628359375,3591.9993896484375,2855,02:03,103,110.0
17,2,running,2015-04-01T13:04:04.000Z,2498.0,8.826419921875,74.60040283203125,568,04:43,0.0,0.0
18,2,biking,2016-07-28T11:33:57.000Z,10018.0,0.7800399780273437,229.39991760253906,1970,34:02,95,101.0
19,2,other,2015-07-09T12:11:09.000Z,765.0,0.09577999877929687,0.0,0,13:07,0.0,0.0
20,2,biking,2015-02-07T13:45:18.000Z,55.0,0.36295001220703127,3.8000001907348633,5,02:31,99,99.0
21,2,running,2014-11-05T11:00:30.000Z,5547.0,16.6095390625,105.8001708984375,1208,05:33,0.0,0.0
22,2,biking,2016-10-19T11:01:17.000Z,14472.0,127.628296875,1379.7999267578125,3094,01:53,95,100.0
23,2,biking,2016-01-30T11:28:23.000Z,10964.0,75.104140625,1402.5999908447266,1426,02:25,105,110.0
24,2,other,2015-07-25T09:34:54.000Z,458.0,0.45860000610351564,0.0,136,16:38,0.0,0.0
25,2,running,2016-03-25T08:39:47.000Z,5468.0,20.03391015625,136.19979858398438,1257,04:32,0.0,0.0
26,2,biking,2014-02-20T10:42:26.000Z,15630.0,112.8142421875,3478.7999954223633,3033,02:18,110,114.0
27,2,biking,2017-04-01T12:24:15.000Z,11401.0,100.0485390625,533.8000259399414,2404,01:53,104,104.0
28,2,biking,2014-09-24T08:53:19.000Z,13546.0,102.8962578125,1435.1997375488281,2283,02:11,107,107.0
29,2,running,2016-04-27T13:11:20.000Z,3688.0,13.7646103515625,78.20004272460938,520,04:27,0.0,0.0
30,2,running,2016-02-09T10:08:16.000Z,7339.0,27.58033984375,373.8000102043152,1528,04:26,0.0,0.0
31,2,biking,2015-09-26T13:21:52.000Z,4213.0,37.69308984375,473.00022888183594,742,01:51,101,103.0
32,2,biking,2014-03-04T15:19:13.000Z,6684.0,53.47878125,1757.3998107910156,1310,02:04,109,109.0
33,2,running,2017-05-12T12:15:18.000Z,7381.0,27.95658984375,367.40008544921875,1879,04:24,0.0,0.0
34,2,running,2017-03-29T13:53:39.000Z,3561.0,13.0968798828125,96.8001708984375,823,04:31,0.0,0.0
35,2,biking,2016-04-02T15:06:56.000Z,2701.0,23.2576796875,192.39999389648438,500,01:56,100,100.0
36,2,biking,2016-08-05T12:23:38.000Z,7535.0,71.0689296875,679.2003173828125,1659,01:46,108,108.0
37,2,biking,2014-02-23T13:45:37.000Z,7837.0,66.998359375,1901.2005672454834,1196,01:56,112,112.0
38,2,other,2016-02-18T17:13:38.000Z,3519.0,3.625,0.0,879,16:10,0.0,0.0
39,2,running,2015-10-18T08:43:22.000Z,4717.0,16.0592099609375,117.20001125335693,1373,04:53,0.0,0.0
40,2,biking,2015-09-27T09:10:39.000Z,9271.0,86.55134375,1065.9997463226318,2047,01:47,108,108.0
41,2,biking,2014-08-24T05:58:57.000Z,36923.0,178.781484375,1714.799925327301,4555,03:26,0.0,119.0
42,2,running,2016-07-05T07:33:33.000Z,4868.0,17.7740390625,104.79998779296875,1539,04:33,0.0,0.0
43,2,biking,2015-07-11T06:10:06.000Z,10970.0,106.009703125,589.8002624511719,2480,01:43,132,132.0
44,2,biking,2013-08-23T16:10:05.000Z,7133.0,65.30196875,1064.2003173828125,1526,01:49,107,112.0
45,2,running,2017-05-29T14:20:42.000Z,6828.0,24.030759765625,277.3998107910156,1295,04:44,0.0,0.0
46,2,running,2017-06-08T15:46:29.000Z,3103.0,11.6964404296875,133.2000732421875,671,04:25,0.0,0.0
47,2,running,2015-10-09T10:54:00.000Z,11006.0,37.5456796875,370.4006042480469,2354,04:53,0.0,0.0
48,2,biking,2017-04-22T12:24:30.000Z,4010.0,29.69116015625,156.99998474121094,737,02:15,93,104.0
49,2,biking,2015-08-30T07:48:30.000Z,6652.0,61.57444140625,910.0002059936523,1267,01:48,99,101.0
50,2,biking,2013-06-11T15:01:17.000Z,5522.0,37.61369140625,441.59942626953125,906,02:26,108,108.0
51,2,other,2016-02-25T16:57:12.000Z,0.0,2.95,0.0,727,00:00,0.0,0.0
52,2,biking,2015-06-06T07:41:53.000Z,11855.0,94.2634765625,1383.7997741699219,1662,02:05,0.0,0.0
53,2,biking,2016-10-17T11:15:15.000Z,11109.0,88.92434375,1052.1999816894531,1878,02:04,97,105.0
54,2,biking,2017-08-21T13:30:38.000Z,7683.0,73.0458984375,407.6000671386719,1739,01:45,103,106.0
55,2,running,2014-08-30T17:45:14.000Z,3233.0,10.74383984375,43.5999755859375,677,05:00,0.0,0.0
56,2,biking,2016-06-30T14:35:22.000Z,4184.0,21.489689453125,184.40005493164062,742,03:14,0.0,0.0
57,2,running,2017-08-18T16:46:59.000Z,3079.0,11.2468203125,164.19992065429688,765,04:33,0.0,0.0
58,2,running,2015-03-13T12:48:38.000Z,2401.0,8.647259765625,55.599761962890625,572,04:37,0.0,0.0
59,2,running,2014-12-20T09:01:37.000Z,7984.0,5.00668994140625,716.79931640625,349,26:34,0.0,0.0
60,2,biking,2015-07-25T12:14:55.000Z,7775.0,60.60544921875,1157.1990966796875,1214,02:08,101,101.0
61,2,running,2015-01-25T11:32:48.000Z,6613.0,25.006189453125,189.20065307617188,1534,04:24,0.0,0.0
62,2,biking,2016-04-19T12:51:12.000Z,4288.0,29.536849609375,314.6000671386719,1238,02:25,0.0,0.0
63,2,biking,2016-10-15T07:48:34.000Z,4940.0,4.0999501953125,40.399658203125,373,20:04,90,90.0
64,2,biking,2016-04-13T06:41:05.000Z,4839.0,0.10497000122070313,55.19976806640625,793,48:18,91,96.0
65,2,biking,2013-07-31T15:32:30.000Z,18.0,0.09643000030517578,2.000030517578125,1,03:06,89,89.0
66,2,biking,2015-04-24T15:33:19.000Z,2330.0,19.85973046875,99.60000610351562,819,01:57,0.0,0.0
67,2,biking,2016-07-30T07:09:54.000Z,7272.0,68.888546875,800.5999374389648,1503,01:45,99,130.0
68,2,biking,2015-06-12T15:09:22.000Z,3809.0,31.97355078125,345.39984130859375,1390,01:59,0.0,0.0
69,2,biking,2016-05-26T10:31:46.000Z,7370.0,65.2153984375,671.3998718261719,1504,01:53,124,124.0
70,2,running,2015-08-25T10:05:49.000Z,1600.0,4.81325,28.600128173828125,347,05:32,0.0,0.0
71,2,running,2017-04-14T00:33:35.000Z,2704.0,9.73741015625,49.40000534057617,847,04:37,0.0,0.0
72,2,running,2017-02-20T08:24:03.000Z,4487.0,16.3257001953125,138.60000610351562,865,04:34,0.0,0.0
73,2,other,2016-09-09T16:26:43.000Z,2398.0,2.09060009765625,0.0,655,19:07,0.0,0.0
74,2,biking,2015-03-20T10:51:55.000Z,12672.0,99.0925,1215.4004516601562,2435,02:07,50,133.0
75,2,biking,2016-03-15T17:31:12.000Z,53.0,0.18824000549316405,1.5999908447265625,3,04:41,0.0,0.0
76,2,biking,2014-03-12T14:32:52.000Z,9314.0,81.3403125,3216.199951171875,1951,01:54,107,107.0
77,2,running,2017-08-30T08:00:26.000Z,2976.0,10.9191298828125,66.20013427734375,674,04:32,0.0,0.0
78,2,biking,2014-04-03T14:43:56.000Z,7998.0,69.5890625,2890.9996032714844,1565,01:54,114,114.0
79,2,biking,2015-04-03T18:55:19.000Z,3445.0,22.3836796875,306.39990234375,396,02:33,162,162.0
80,2,biking,2015-06-11T07:36:35.000Z,6678.0,59.92228125,287.6002502441406,2364,01:51,0.0,0.0
81,2,running,2015-08-12T16:03:03.000Z,1404.0,4.75416015625,41.60003662109375,374,04:55,0.0,0.0
82,2,biking,2017-01-10T09:37:51.000Z,4490.0,0.4422099914550781,56.399871826171875,10,49:13,0,0.0
83,2,biking,2015-05-11T16:29:23.000Z,4783.0,32.65119921875,388.60015869140625,631,02:26,104,104.0
84,2,biking,2016-02-19T12:27:29.000Z,5662.0,41.036890625,1000.600036084652,1147,02:17,135,135.0
85,2,biking,2017-06-30T07:34:55.000Z,7288.0,64.2490390625,563.599853515625,1695,01:53,98,100.0
86,2,running,2016-04-23T15:46:38.000Z,5390.0,18.374869140625,182.79986572265625,1118,04:53,0.0,0.0
87,2,biking,2016-04-22T10:14:23.000Z,14912.0,140.069953125,1752.201171875,3410,01:46,97,123.0
88,2,running,2016-09-24T11:17:23.000Z,4997.0,20.783259765625,96.79999870061874,1802,04:00,0.0,0.0
89,2,running,2016-02-13T12:50:27.000Z,2531.0,8.3043095703125,230.39998626708984,504,05:04,0.0,0.0
90,2,running,2017-03-07T08:22:09.000Z,4578.0,15.95158984375,175.2000195980072,1391,04:46,0.0,0.0
91,2,biking,2016-07-24T07:37:35.000Z,19688.0,167.5015625,2010.600082397461,3924,01:57,102,129.0
92,2,biking,2016-08-09T07:34:46.000Z,7221.0,63.94178125,712.4001159667969,1401,01:52,100,100.0
93,2,biking,2016-08-13T07:17:11.000Z,4079.0,31.903029296875,323.0001220703125,689,02:07,89,101.0
94,2,biking,2016-07-28T11:32:07.000Z,37.0,0.009420000076293945,2.0000152587890625,5,05:27,90,90.0
95,2,running,2017-06-04T10:06:27.000Z,5416.0,20.276509765625,232.00018310546875,1314,04:27,0.0,0.0
96,2,biking,2014-09-07T12:48:41.000Z,4692.0,36.3571484375,381.99952697753906,731,02:09,103,103.0
97,2,running,2016-08-14T10:18:58.000Z,10442.0,42.2315390625,304.5997009277344,3650,04:07,0.0,0.0
98,2,biking,2017-07-15T08:14:14.000Z,3895.0,32.09158984375,338.1999125480652,347,02:01,101,101.0
99,2,biking,2016-04-17T06:39:21.000Z,6324.0,45.61337890625,758.1999685615301,1057,02:18,136,136.0
100,2,running,2017-02-04T09:35:56.000Z,7201.0,24.873390625,546.8000793457031,2188,04:49,0.0,0.0
101,2,other,2016-06-19T10:27:47.000Z,153.0,0.10861000061035156,0.0,36,23:28,0.0,0.0
102,2,biking,2015-09-01T12:15:02.000Z,4953.0,42.5865390625,654.7995758056641,866,01:56,153,153.0
103,2,running,2016-07-29T15:00:26.000Z,5259.0,19.150970703125,199.600341796875,1653,04:34,0.0,0.0
104,2,running,2017-09-15T08:25:16.000Z,3017.0,10.84383984375,136.79998779296875,766,04:38,0.0,0.0
105,2,biking,2015-10-25T09:19:38.000Z,15756.0,132.153046875,1484.6001892089844,3001,01:59,106,118.0
