,sportnik,tipAktivnosti,zacetekAktivnosti,trajanjeAktivnosti,razdaljaAktivnosti,vzponAktivnosti,kalorijeAktivnosti,tempoAktivnosti,kadenceAvgAktivnosti,kadenceMaxAktivnosti
578,4,biking,2016-02-19T11:25:53.000Z,6796.0,29.133720703125,766.0001831054688,841,03:53,108,119.0
579,4,biking,2016-02-25T13:03:02.000Z,1267.0,6.45781005859375,125.60003662109375,121,03:16,124,124.0
580,4,biking,2015-03-16T14:13:30.000Z,6171.0,22.2782109375,692.1999816894531,514,04:36,102,109.0
581,4,biking,2017-04-23T11:09:45.000Z,3277.0,16.23425,293.8000183105469,284,03:21,150,150.0
582,4,biking,2015-03-23T08:57:00.000Z,9659.0,33.75171875,1443.6001586914062,881,04:46,90,104.0
583,4,biking,2017-01-31T15:51:15.000Z,8221.0,28.2407109375,714.8000104427338,811,04:51,121,121.0
584,4,biking,2017-09-29T08:30:34.000Z,5191.0,32.0563203125,808.599853515625,468,02:41,0.0,0.0
585,4,biking,2017-09-13T08:57:24.000Z,5595.0,31.256240234375,999.7999572753906,546,02:59,108,139.0
586,4,biking,2017-05-07T08:59:03.000Z,4908.0,15.557490234375,1012.0001220703125,732,05:15,254,254.0
587,4,biking,2017-09-24T08:16:01.000Z,4061.0,22.083109375,754.2000427246094,482,03:03,102,134.0
588,4,biking,2017-03-08T13:23:41.000Z,5530.0,19.71655078125,636.6000366210938,636,04:40,142,142.0
589,4,biking,2017-09-20T15:01:05.000Z,2655.0,14.088990234375,582.0000610351562,335,03:08,104,131.0
590,4,biking,2015-04-11T10:00:33.000Z,5107.0,19.7678203125,888.2000041007996,818,04:18,21,117.0
591,4,biking,2016-01-31T09:21:57.000Z,7052.0,27.486509765625,953.800048828125,1111,04:16,0.0,0.0
592,4,biking,2016-02-27T09:00:24.000Z,8981.0,50.069609375,1548.6000366210938,1653,02:59,148,148.0
593,4,biking,2014-07-13T07:19:06.000Z,1863.0,5.97989013671875,246.0001220703125,189,05:11,96,96.0
594,4,biking,2016-08-06T15:03:11.000Z,1026.0,6.21225,92.39997863769531,153,02:45,0.0,0.0
